,,12,"Mr. Imtiaz Rastgar Chairman, Rastgar Engineering Co. (Pvt.) Ltd.",135,,
,,12,"Mr. Imtiaz Rastgar Chairman, Rastgar Engineering Co. (Pvt.) Ltd.",145,,
,,12,"Mr. Imtiaz Rastgar Chairman, Rastgar Engineering Co. (Pvt.) Ltd.",174,,
,,12,"Mr. Imtiaz Rastgar Chairman, Rastgar Engineering Co. (Pvt.) Ltd.",315,,
,,12,"Mr. Imtiaz Rastgar Chairman, Rastgar Engineering Co. (Pvt.) Ltd.",325,,
,,12,"Mr. Imtiaz Rastgar Chairman, Rastgar Engineering Co. (Pvt.) Ltd.",355,,
,,13,"Mr. Amer Zafar Durrani, CEO Reenergia Enhar Pakistan / or anyone from the team",63,,
,,13,"Mr. Amer Zafar Durrani, CEO Reenergia Enhar Pakistan / or anyone from the team",67,,
,,13,"Mr. Amer Zafar Durrani, CEO Reenergia Enhar Pakistan / or anyone from the team",80,,
,,13,"Mr. Amer Zafar Durrani, CEO Reenergia Enhar Pakistan / or anyone from the team",83,,
,,13,"Mr. Amer Zafar Durrani, CEO Reenergia Enhar Pakistan / or anyone from the team",124,,
,,13,"Mr. Amer Zafar Durrani, CEO Reenergia Enhar Pakistan / or anyone from the team",135,,
,,13,"Mr. Amer Zafar Durrani, CEO Reenergia Enhar Pakistan / or anyone from the team",145,,
,,13,"Mr. Amer Zafar Durrani, CEO Reenergia Enhar Pakistan / or anyone from the team",174,,
,,13,"Mr. Amer Zafar Durrani, CEO Reenergia Enhar Pakistan / or anyone from the team",315,,
,,13,"Mr. Amer Zafar Durrani, CEO Reenergia Enhar Pakistan / or anyone from the team",325,,
,,13,"Mr. Amer Zafar Durrani, CEO Reenergia Enhar Pakistan / or anyone from the team",355,,
,,14,"Mr. Fahad Islam Tiwana, CEO Tech Valley",63,,
,,14,"Mr. Fahad Islam Tiwana, CEO Tech Valley",67,,
,,14,"Mr. Fahad Islam Tiwana, CEO Tech Valley",80,,
,,14,"Mr. Fahad Islam Tiwana, CEO Tech Valley",83,,
,,14,"Mr. Fahad Islam Tiwana, CEO Tech Valley",124,,
,,14,"Mr. Fahad Islam Tiwana, CEO Tech Valley",135,,
,,14,"Mr. Fahad Islam Tiwana, CEO Tech Valley",145,,
,,14,"Mr. Fahad Islam Tiwana, CEO Tech Valley",174,,
,,14,"Mr. Fahad Islam Tiwana, CEO Tech Valley",315,,
,,14,"Mr. Fahad Islam Tiwana, CEO Tech Valley",325,,
,,14,"Mr. Fahad Islam Tiwana, CEO Tech Valley",355,,
,,15,"Mr. Imran, Director, Glaxosmithkline (GSK) ",63,,
,,15,"Mr. Imran, Director, Glaxosmithkline (GSK) ",67,,
,,15,"Mr. Imran, Director, Glaxosmithkline (GSK) ",80,,
,,15,"Mr. Imran, Director, Glaxosmithkline (GSK) ",83,,
,,15,"Mr. Imran, Director, Glaxosmithkline (GSK) ",124,,
,,15,"Mr. Imran, Director, Glaxosmithkline (GSK) ",135,,
,,15,"Mr. Imran, Director, Glaxosmithkline (GSK) ",145,,
,,15,"Mr. Imran, Director, Glaxosmithkline (GSK) ",174,,
,,15,"Mr. Imran, Director, Glaxosmithkline (GSK) ",315,,
,,15,"Mr. Imran, Director, Glaxosmithkline (GSK) ",325,,
,,15,"Mr. Imran, Director, Glaxosmithkline (GSK) ",355,,
